UID,Tag
100000,0.3171483315027546
100001,0.03126975330290399
100002,0.003805115419623608
100003,0.002657475308175726
100004,0.004428955755734997
100005,0.050144201778725125
100006,0.012917179055523406
100007,0.028098867891332563
100008,0.010327467714267945
100009,0.0008714798193982255
100010,0.008354924720405364
100011,0.005510460896337251
100012,0.002470238370725461
100013,0.003966857376760959
100014,0.0016070236539187782
100015,0.07038777300467734
100016,0.004309292475770136
100017,0.010845996338686815
100018,0.009196300438185537
100019,0.001994514574601545
100020,0.00389715079001933
100021,0.011435382089832219
100022,0.5746133303439684
100023,0.005442731564750881
100024,0.0027561880040081503
100025,0.00572979548599914
100026,0.9574743410576909
100027,0.19492102166756956
100028,0.0014309753835685226
100029,0.17128597402750867
100030,0.0017007496869986855
100031,0.06035682323948455
100032,0.002740573233956194
100033,0.0024280460531010497
100034,0.009510447784419415
100035,0.4256406342161322
100036,0.0034419228892930316
100037,0.002356948660100023
100038,0.004222186935042033
100039,0.007260229730129969
100040,0.6446658035117567
100041,0.017758608874774602
100042,0.048047158111274774
100043,0.0007198534854336931
100044,0.004485549437023315
100045,0.00067861229373654
100046,0.001305965063114404
100047,0.0019146761308244317
100048,0.0071907269534290455
100049,0.01803822080124452
100050,0.01386090694483618
100051,0.0009363304776615498
100052,0.0015217654565478022
100053,0.00853174764367597
100054,0.0022822332059252073
100055,0.057494179943567925
100056,0.041538170853291694
100057,0.0018476579249504382
100058,0.012271514146273713
100059,0.009635865540545123
100060,0.9870267728339297
100061,0.004603344269675989
100062,0.0011964822131484533
100063,0.003070807676213175
100064,0.9816179853619471
100065,0.023655503008688714
100066,0.0010236414429960969
100067,0.061329255219625976
100068,0.002142592686717474
100069,0.0028359475658712016
100070,0.007828362616939291
100071,0.0032156751543360182
100072,0.00254056164627183
100073,0.008425248007039763
100074,0.0165089721417561
100075,0.0026969571963144485
100076,0.004425493622973264
100077,0.006524195330048958
100078,0.0010841532347171073
100079,0.0010089329944913883
100080,0.026962514358467436
100081,0.12140859497465384
100082,0.034702898210502264
100083,0.0010841079454605707
100084,0.033675284750895325
100085,0.002079472095429416
100086,0.5047559386107229
100087,0.9370126263813512
100088,0.0045066728011499265
100089,0.04608017422172692
100090,0.9903384954736005
100091,0.013514170329806466
100092,0.003127235570236679
100093,0.0064384043483717195
100094,0.004528159265567615
100095,0.511348302933914
100096,0.015803907320837265
100097,0.007828855723097815
100098,0.002495971296915235
100099,0.0020465037184922716
100100,0.0008015873965599017
100101,0.009036875501949584
100102,0.0025419529965117925
100103,0.014023282682855557
100104,0.008658979893838858
100105,0.04031199077855199
100106,0.3571909371875315
100107,0.5922985328519818
100108,0.0068880758022338735
100109,0.5482354310084672
100110,0.0054273429292791935
100111,0.0034509926467302674
100112,0.44000042564048614
100113,0.017085765225594678
100114,0.9423147116696695
100115,0.0006650371322238077
100116,0.001044057539005472
100117,0.005979668239393811
100118,0.07786052364686445
100119,0.013026946901323767
100120,0.6993563853197275
100121,0.08139716014362412
100122,0.005456194676529737
100123,0.0010926198647399125
100124,0.02719861233462717
100125,0.01898550867291052
100126,0.007150017468551527
100127,0.05664700070262956
100128,0.0010278878736110883
100129,0.0031403932993180794
100130,0.045438594789886544
100131,0.003928857691938619
100132,0.0021725348685199186
100133,0.01161179171838083
100134,0.004876495467301307
100135,0.008985196998000107
100136,0.0010855235141703158
100137,0.003389927569178614
100138,0.003701778223197897
100139,0.001161301673643719
100140,0.003528985572227198
100141,0.006270518407825793
100142,0.0010264036155038334
100143,0.029161141375453378
100144,0.27683467864579114
100145,0.002409661100671063
100146,0.14510030183208256
100147,0.010294045558624267
100148,0.030833673481286208
100149,0.0011005739926252661
100150,0.004035565203935422
100151,0.0018729549284517344
100152,0.009602692355338732
100153,0.009326532187563288
100154,0.05990302600112643
100155,0.0026923936080703033
100156,0.005687250758966407
100157,0.02078179724005109
100158,0.07469437103807286
100159,0.004067602794565773
100160,0.002255923073413639
100161,0.003359398399774014
100162,0.006372568491120095
100163,0.004300478487192729
100164,0.002331841469888305
100165,0.0445620650162714
100166,0.0031887258198172916
100167,0.006702773214289831
100168,0.4441953662313323
100169,0.006725778210441674
100170,0.8118525702735856
100171,0.30819819655437425
100172,0.4394868363729781
100173,0.6746232433166938
100174,0.0037142912842026725
100175,0.18660478579506345
100176,0.030002899274329576
100177,0.0014427734392465884
100178,0.0014093572075070697
100179,0.005756346843495377
100180,0.0045616591956856925
100181,0.0019550779669513956
100182,0.0011517867135089758
100183,0.7151889203682112
100184,0.17904341420207975
100185,0.04670381633161096
100186,0.01227044841195257
100187,0.006548898409244545
100188,0.0018451206938139898
100189,0.004643940052503855
100190,0.006455264270331973
100191,0.007814387755722404
100192,0.004702049251222098
100193,0.00544037826191562
100194,0.008303837973389572
100195,0.6847954852538206
100196,0.011404674430905115
100197,0.04108478216354713
100198,0.0008574706546919864
100199,0.0013052303432571407
100200,0.0013384220713948873
100201,0.002048959630447646
100202,0.001579799032581267
100203,0.0021008600459753953
100204,0.04650471960645064
100205,0.0031880538358841654
100206,0.004626472855783715
100207,0.3926754655266889
100208,0.16460383298534986
100209,0.0007628146974224715
